"","palabra","n"
"1","hotel",49016
"2","room",34669
"3","not",31617
"4","great",21175
"5","n't",18984
"6","good",17084
"7","staff",16260
"8","stay",15176
"9","did",13904
"10","just",12616
"11","nice",12460
"12","rooms",12085
"13","no",11754
"14","location",11095
"15","stayed",10467
"16","service",10088
"17","time",9901
"18","night",9899
"19","beach",9765
"20","day",9680
"21","clean",9407
"22","breakfast",9336
"23","food",9097
"24","like",8204
"25","resort",7976
"26","really",7769
"27","place",7703
"28","pool",7379
"29","people",6782
"30","friendly",6764
"31","2",6729
"32","small",6548
"33","little",6246
"34","walk",6196
"35","got",6189
"36","excellent",6037
"37","area",5962
"38","best",5690
"39","bar",5489
"40","helpful",5477
"41","5",5321
"42","restaurant",5254
"43","3",5193
"44","restaurants",5009
"45","bathroom",4994
"46","water",4970
"47","trip",4953
"48","bed",4927
"49","recommend",4850
"50","beautiful",4675
"51","view",4674
"52","went",4646
"53","floor",4616
"54","desk",4443
"55","comfortable",4429
"56","nights",4340
"57","right",4257
"58","want",4181
"59","check",4179
"60","way",4145
"61","free",4111
"62","better",4076
"63","make",4062
"64","wonderful",4053
"65","hotels",4045
"66","4",4004
"67","city",3979
"68","away",3968
"69","bit",3872
"70","booked",3870
"71","price",3764
"72","reviews",3744
"73","large",3740
"74","street",3681
"75","minutes",3616
"76","say",3567
"77","quite",3553
"78","buffet",3549
"79","new",3539
"80","days",3412
"81","lobby",3394
"82","10",3323
"83","experience",3259
"84","loved",3254
"85","going",3244
"86","close",3170
"87","morning",3158
"88","definitely",3136
"89","big",3044
"90","lovely",3011
"91","shower",2990
"92","airport",2983
"93","fantastic",2975
"94","think",2945
"95","took",2944
"96","problem",2911
"97","perfect",2900
"98","walking",2889
"99","lot",2880
"100","need",2877
"101","bad",2850
"102","week",2848
"103","quiet",2843
"104","arrived",2833
"105","1",2814
"106","times",2786
"107","old",2766
"108","use",2765
"109","husband",2711
"110","star",2705
"111","sure",2703
"112","long",2696
"113","told",2687
"114","beds",2684
"115","door",2665
"116","money",2643
"117","coffee",2615
"118","drinks",2596
"119","vacation",2579
"120","left",2561
"121","station",2559
"122","worth",2539
"123","pretty",2522
"124","know",2515
"125","said",2513
"126","eat",2466
"127","enjoyed",2443
"128","staying",2443
"129","dinner",2418
"130","main",2380
"131","asked",2376
"132","value",2367
"133","located",2360
"134","try",2349
"135","looking",2343
"136","things",2326
"137","thing",2315
"138","hot",2303
"139","nothing",2290
"140","feel",2259
"141","internet",2258
"142","outside",2217
"143","lots",2214
"144","bus",2212
"145","overall",2210
"146","ok",2190
"147","noise",2175
"148","english",2164
"149","amazing",2163
"150","far",2161
"151","open",2153
"152","easy",2148
"153","return",2142
"154","home",2127
"155","couple",2117
"156","fun",2116
"157","family",2112
"158","wanted",2098
"159","kids",2095
"160","early",2089
"161","club",2085
"162","minute",2068
"163","different",2056
"164","extremely",2052
"165","modern",2048
"166","size",2042
"167","air",2036
"168","year",2031
"169","come",2021
"170","visit",2018
"171","reception",2016
"172","guests",2006
"173","suite",2006
"174","near",2000
"175","huge",1977
"176","available",1969
"177","having",1961
"178","shopping",1949
"179","fine",1939
"180","work",1939
"181","expensive",1934
"182","tv",1933
"183","pay",1925
"184","towels",1923
"185","hour",1918
"186","returned",1905
"187","came",1895
"188","end",1892
"189","especially",1884
"190","thought",1882
"191","felt",1877
"192","6",1869
"193","evening",1867
"194","ca",1862
"195","getting",1855
"196","extra",1854
"197","high",1852
"198","used",1844
"199","hours",1836
"200","spacious",1836
"201","hard",1831
"202","plenty",1827
"203","ask",1822
"204","30",1796
"205","highly",1775
"206","car",1766
"207","punta",1760
"208","drink",1755
"209","cana",1754
"210","distance",1743
"211","spent",1743
"212","ocean",1741
"213","building",1740
"214","wait",1732
"215","business",1729
"216","expect",1726
"217","called",1720
"218","does",1719
"219","short",1717
"220","rate",1698
"221","places",1697
"222","choice",1695
"223","in",1693
"224","paid",1693
"225","san",1685
"226","safe",1673
"227","able",1669
"228","access",1653
"229","parking",1649
"230","wife",1643
"231","read",1637
"232","15",1620
"233","20",1620
"234","7",1620
"235","help",1614
"236","book",1605
"237","happy",1604
"238","included",1603
"239","late",1598
"240","look",1598
"241","pleasant",1588
"242","quality",1585
"243","travel",1584
"244","probably",1547
"245","square",1539
"246","second",1514
"247","fresh",1511
"248","la",1495
"249","central",1494
"250","given",1493
"251","problems",1487
"252","absolutely",1475
"253","ate",1473
"254","person",1472
"255","tour",1466
"256","gave",1464
"257","leave",1451
"258","metro",1449
"259","weekend",1446
"260","deal",1444
"261","enjoy",1441
"262","actually",1440
"263","looked",1437
"264","lunch",1437
"265","park",1420
"266","bring",1418
"267","checked",1409
"268","needed",1404
"269","standard",1376
"270","lounge",1372
"271","train",1354
"272","bars",1331
"273","holiday",1330
"274","special",1327
"275","cold",1322
"276","kept",1314
"277","double",1299
"278","taxi",1295
"279","let",1294
"280","barcelona",1291
"281","french",1289
"282","8",1284
"283","property",1280
"284","concierge",1277
"285","wine",1277
"286","friends",1271
"287","views",1265
"288","stop",1262
"289","reservations",1250
"290","ride",1244
"291","tried",1244
"292","paris",1243
"293","local",1235
"294","luggage",1235
"295","average",1231
"296","grounds",1229
"297","spanish",1221
"298","convenient",1220
"299","plus",1215
"300","ready",1209
"301","disappointed",1208
"302","chairs",1204
"303","bath",1196
"304","sleep",1193
"305","spa",1189
"306","warm",1188
"307","space",1184
"308","line",1179
"309","balcony",1175
"310","shops",1169
"311","speak",1164
"312","fruit",1163
"313","children",1160
"314","tip",1160
"315","yes",1158
"316","arrival",1152
"317","cost",1148
"318","real",1148
"319","saw",1148
"320","fabulous",1147
"321","amsterdam",1144
"322","fact",1142
"323","including",1141
"324","offered",1139
"325","busy",1138
"326","manager",1137
"327","years",1133
"328","center",1127
"329","love",1124
"330","entertainment",1120
"331","block",1119
"332","expected",1115
"333","florence",1110
"334","later",1110
"335","areas",1108
"336","charge",1107
"337","cheap",1102
"338","corner",1099
"339","island",1093
"340","walked",1093
"341","certainly",1087
"342","town",1086
"343","world",1082
"344","king",1078
"345","mini",1075
"346","pools",1065
"347","blocks",1061
"348","flight",1048
"349","road",1048
"350","booking",1043
"351","liked",1042
"352","euros",1040
"353","reservation",1038
"354","provided",1036
"355","half",1032
"356","tea",1029
"357","decided",1028
"358","light",1022
"359","decent",1019
"360","prices",1015
"361","facilities",1011
"362","spend",1011
"363","served",1006
"364","change",1003
"365","noisy",1002
"366","resorts",1001
"367","site",1001
